Status,,,,
,Manhwa Name,Chapters,Status,Link 
,Genius batter hits fastball,107,ONGOING,https://mangafire.to/manga/genius-hitter-hits-fastballl.qnoqw
,Heavenly demon cultivation simulation,178,ONGOING,https://mangafire.to/manga/cheonmayukseongg.2o1m4
,Genius midfielder,52,ONGOING,https://mangafire.to/manga/the-genius-midfielders-passes-are-special2.301r8
,Home plate villain ,188,ONGOING,https://m.mangatown.com/manga/home_plate_s_villain
,I am not a soccer genius,62,ONGOING,https://mangafire.to/manga/chukgucheonjaero-ohaebanneun-jungimnida.ol3q4
,Greatest senior disciple ,175,ONGOING,https://mangafire.to/manga/worlds-greatest-senior-disciplee.rj78m
,Back alley mage ,43,ONGOING,https://mangafire.to/manga/return-of-the-back-alley-wizard.kxm3w
,Art of leaving work on time,29,ONGOING,https://mangafire.to/manga/the-art-of-leaving-work-on-time.5wz30
,My lucky encounter turned to reality,93,ONGOING,https://mangafire.to/manga/my-lucky-encounter-from-the-game-turned-into-realityy.mv46z
,I was mistaken as monstrous genius actor,95,ONGOING,https://mangafire.to/manga/i-was-immediately-mistaken-for-a-monster-genius-actorr.lrown
,Together with gods of music,118,ONGOING,https://mangafire.to/manga/together-with-the-gods-of-musicc.mv78x
,The thousand faces actor ,62,ONGOING,https://mangafire.to/manga/the-thousand-faces-actor.vq9k7
,Paganini reincarnation,92,ONGOING,https://mangafire.to/manga/the-artistic-genius-of-music-is-the-reincarnation-of-paganinii.zxjqw
,Reincarnation of underworld king,125,ONGOING,https://comix.to/title/7z52g-return-of-the-king-of-hell
,Movies are real ,48,ONGOING,https://mangafire.to/manga/movies-are-reall.vv5q2
,Grandson of loan shark king ,102,ONGOING,https://mangafire.to/manga/genius-grandson-of-the-loan-shark-kingg.yv40p
,Emperor of solo play ,63,ONGOING,https://mangafire.to/manga/emperor-of-solo-play.82n6o
,Crimson reset ,41,ONGOING,https://mangafire.to/manga/crimson-reset.mj8qx
,1st year max level manager,184,ONGOING,http://mangafire.to/manga/rookie-talent-agent-knows-it-alll.7w4yy
,Superstar from birth,92,ONGOING,https://mangafire.to/manga/0-salbuteo-superstar.0myjr
,Regressed extra is genius,38,ONGOING,https://mangafire.to/manga/the-returned-extra-becomes-a-genius.yj6qj
